"key","en","vi"
"dark_cathedral_boss_drop_trident_mythic.lore[2]","&0&kof the ocean floor.","&0&kcủa đáy đại dương."
"dark_cathedral_boss_drop_trident_mythic.name","&0Cursed Trident","&0Đinh Ba Bị Nguyền"
"dark_cathedral_boss_drop_trident_normal.lore[0]","&0&kA weapon forged in the depths of R'lyeh,","&0&kVũ khí được rèn trong vực sâu R'lyeh,"
"dark_cathedral_boss_drop_trident_normal.lore[1]","&0&kits touch brings forth the chill","&0&kcú chạm của nó mang đến cái lạnh"
"dark_cathedral_boss_drop_trident_normal.lore[2]","&0&kof the ocean floor.","&0&kcủa đáy đại dương."
"dark_cathedral_boss_drop_trident_normal.name","&0Cursed Trident","&0Đinh Ba Bị Nguyền"
"dark_cathedral_lair.customInfo[0]","&fThe first ever EliteMobs Lair!","&fHang Ổ EliteMobs đầu tiên từng có!"
"dark_cathedral_lair.customInfo[1]","&fA classic that all servers need!","&fMột huyền thoại kinh điển mà máy chủ nào cũng cần!"
"dark_cathedral_lair.customInfo[2]","&6Credits: MagmaGuy, 69OzCanOfBepis, Frost, Dali","&6Công trạng: MagmaGuy, 69OzCanOfBepis, Frost, Dali"
"dark_cathedral_lair.difficulties.0.name","normal","normal"
"dark_cathedral_lair.difficulties.1.name","hard","hard"
"dark_cathedral_lair.difficulties.2.name","mythic","mythic"
"dark_cathedral_lair.name","&2[Dynamic] &8The Dark Cathedral","&2[Động] &8Nhà Thờ Bóng Tối"
"dark_cathedral_lair.playerInfo","Difficulty: &cHard
$bossCount level $highestTier Big Boss!
&cThe original minidungeon, a challenge for
&ca group of players or for veterans!","Độ khó: &cKhó
$bossCount cấp $highestTier Trùm Lớn!
&cMinidungeon nguyên bản, thử thách dành cho
&cmột nhóm người chơi hoặc các cao thủ!"
"dark_cathedral_lair.regionEnterMessage","&8[EM] &1An invasion is in progress. &9Stop the insurrection!","&8[EM] &1Cuộc xâm lăng đang diễn ra. &9Hãy chặn đứng cuộc nổi dậy!"
"dark_cathedral_lair.regionLeaveMessage","&8[EM] &1You managed to hold them back. &9For now...","&8[EM] &1Bạn đã cầm chân chúng. &9Tạm thời thôi..."
"dark_cathedral_teleporter.greetings[0]","",""
"dark_cathedral_teleporter.name","<g:#4A4A6A:#5A5A7A>Dark Acolyte</g>","<g:#4A4A6A:#5A5A7A>Đệ Tử Bóng Tối</g>"
"dark_cathedral_teleporter.role","<g:#3A3A5A:#4A4A6A><Dark Cathedral></g>","<g:#3A3A5A:#4A4A6A><Dark Cathedral></g>"
"dark_cathedral_tier_75_area_folk.name","$normalLevel &cAbyssal Follower of Cthulhu","$normalLevel &cKẻ Theo Hầu Vực Thẳm Của Cthulhu"
"dark_cathedral_tier_75_boss_phase_0.escapeMessage","&2The cultist has completed the summoning!","&2Tên giáo đồ đã hoàn tất nghi lễ triệu hồi!"
"dark_cathedral_tier_75_boss_phase_0.locationMessage","Cultist of Cthulhu: $distance blocks away","Giáo Đồ Của Cthulhu: cách $distance khối"
"dark_cathedral_tier_75_boss_phase_0.name","$bossLevel &4Cultist of Cthulhu","$bossLevel &4Giáo Đồ Của Cthulhu"
"dark_cathedral_tier_75_boss_phase_0.onDamageMessages[0]","Fools!","Lũ ngu xuẩn!"
"dark_cathedral_tier_75_boss_phase_0.onDamageMessages[1]","Chtulhu R'lyeh!","Chtulhu R'lyeh!"
"dark_cathedral_tier_75_boss_phase_0.onDamageMessages[2]","None can defeat Chtulhu!","Không ai có thể đánh bại Chtulhu!"
"dark_cathedral_tier_75_boss_phase_0.onDamageMessages[3]","Stare into the abyss...","Hãy nhìn vào vực thẳm..."
"dark_cathedral_tier_75_boss_phase_0.spawnMessage","&cA dark cultist is summoning Cthulhu!","&cMột giáo đồ hắc ám đang triệu hồi Cthulhu!"
"dark_cathedral_tier_75_boss_phase_1.escapeMessage","&2The cultist has completed the summoning!","&2Tên giáo đồ đã hoàn tất nghi lễ triệu hồi!"
"dark_cathedral_tier_75_boss_phase_1.locationMessage","Cultist of Cthulhu: $distance blocks away","Giáo Đồ Của Cthulhu: cách $distance khối"
"dark_cathedral_tier_75_boss_phase_1.name","$bossLevel &4Cultist of Cthulhu","$bossLevel &4Giáo Đồ Của Cthulhu"
"dark_cathedral_tier_75_boss_phase_1.onDamageMessages[0]","Fools!","Lũ ngu xuẩn!"
"dark_cathedral_tier_75_boss_phase_1.onDamageMessages[1]","Chtulhu R'lyeh!","Chtulhu R'lyeh!"
"dark_cathedral_tier_75_boss_phase_1.onDamageMessages[2]","None can defeat Chtulhu!","Không ai có thể đánh bại Chtulhu!"
"dark_cathedral_tier_75_boss_phase_1.onDamageMessages[3]","Stare into the abyss...","Hãy nhìn vào vực thẳm..."
"dark_cathedral_tier_75_boss_phase_2.escapeMessage","&2The cultist has completed the summoning!","&2Tên giáo đồ đã hoàn tất nghi lễ triệu hồi!"
"dark_cathedral_tier_75_boss_phase_2.locationMessage","Cultist of Cthulhu: $distance blocks away","Giáo Đồ Của Cthulhu: cách $distance khối"
"dark_cathedral_tier_75_boss_phase_2.name","$bossLevel &4Cultist of Cthulhu","$bossLevel &4Giáo Đồ Của Cthulhu"
"dark_cathedral_tier_75_boss_phase_2.onDamageMessages[0]","Fools!","Lũ ngu xuẩn!"
"dark_cathedral_tier_75_boss_phase_2.onDamageMessages[1]","Chtulhu R'lyeh!","Chtulhu R'lyeh!"
"dark_cathedral_tier_75_boss_phase_2.onDamageMessages[2]","None can defeat Chtulhu!","Không ai có thể đánh bại Chtulhu!"
"dark_cathedral_tier_75_boss_phase_2.onDamageMessages[3]","Stare into the abyss...","Hãy nhìn vào vực thẳm..."
"dark_cathedral_tier_75_boss_phase_3.deathMessage","&2The summoning has been thwarted $players!","&2Nghi lễ triệu hồi đã bị ngăn chặn bởi $players!"
"dark_cathedral_tier_75_boss_phase_3.deathMessages[0]","&e&l---------------------------------------------","&e&l---------------------------------------------"
"dark_cathedral_tier_75_boss_phase_3.deathMessages[1]","&4The summoning has been interrupted!","&4Nghi lễ triệu hồi đã bị gián đoạn!"
"dark_cathedral_tier_75_boss_phase_3.deathMessages[2]","&c&l    1st Damager: $damager1name &cwith $damager1damage damage!","&c&l    Sát thương hạng 1: $damager1name &cgây $damager1damage sát thương!"
"dark_cathedral_tier_75_boss_phase_3.deathMessages[3]","&6&l    2nd Damager: $damager2name &6with $damager2damage damage!","&6&l    Sát thương hạng 2: $damager2name &6gây $damager2damage sát thương!"
"dark_cathedral_tier_75_boss_phase_3.deathMessages[4]","&e&l    3rd Damager: $damager3name &ewith $damager3damage damage!","&e&l    Sát thương hạng 3: $damager3name &egây $damager3damage sát thương!"
"dark_cathedral_tier_75_boss_phase_3.deathMessages[5]","&4Slayers: $players","&4Kẻ hạ gục: $players"
"dark_cathedral_tier_75_boss_phase_3.deathMessages[6]","&e&l---------------------------------------------","&e&l---------------------------------------------"
"dark_cathedral_tier_75_boss_phase_3.escapeMessage","&2The cultist has completed the summoning!","&2Tên giáo đồ đã hoàn tất nghi lễ triệu hồi!"
"dark_cathedral_tier_75_boss_phase_3.locationMessage","Cultist of Cthulhu: $distance blocks away","Giáo Đồ Của Cthulhu: cách $distance khối"
"dark_cathedral_tier_75_boss_phase_3.name","$bossLevel &4Cultist of Cthulhu","$bossLevel &4Giáo Đồ Của Cthulhu"
"dark_cathedral_tier_75_boss_phase_3.onDamageMessages[0]","Fools!","Lũ ngu xuẩn!"
"dark_cathedral_tier_75_boss_phase_3.onDamageMessages[1]","Chtulhu R'lyeh!","Chtulhu R'lyeh!"
"dark_cathedral_tier_75_boss_phase_3.onDamageMessages[2]","None can defeat Chtulhu!","Không ai có thể đánh bại Chtulhu!"
"dark_cathedral_tier_75_boss_phase_3.onDamageMessages[3]","Stare into the abyss...","Hãy nhìn vào vực thẳm..."
"dark_cathedral_tier_75_boss_phase_display.escapeMessage","&2The cultist has completed the summoning!","&2Tên giáo đồ đã hoàn tất nghi lễ triệu hồi!"
"dark_cathedral_tier_75_boss_phase_display.locationMessage","Cultist of Cthulhu: $distance blocks away","Giáo Đồ Của Cthulhu: cách $distance khối"
"dark_cathedral_tier_75_boss_phase_display.name","$bossLevel &4Cultist of Cthulhu","$bossLevel &4Giáo Đồ Của Cthulhu"
"dark_cathedral_tier_75_boss_phase_display.onDamageMessages[0]","Fools!","Lũ ngu xuẩn!"
"dark_cathedral_tier_75_boss_phase_display.onDamageMessages[1]","Chtulhu R'lyeh!","Chtulhu R'lyeh!"
"dark_cathedral_tier_75_boss_phase_display.onDamageMessages[2]","None can defeat Chtulhu!","Không ai có thể đánh bại Chtulhu!"
"dark_cathedral_tier_75_boss_phase_display.onDamageMessages[3]","Stare into the abyss...","Hãy nhìn vào vực thẳm..."
"dark_cathedral_tier_75_boss_phase_display.spawnMessage","&cA dark cultist is summoning Cthulhu!","&cMột giáo đồ hắc ám đang triệu hồi Cthulhu!"
"dark_cathedral_tier_75_bridge_folk.name","$normalLevel &cFollower of Cthulhu","$normalLevel &cKẻ Theo Hầu Của Cthulhu"
"dark_cathedral_tier_75_cathedral_folk_phase_1.name","$normalLevel &cWorshipper of Cthulhu","$normalLevel &cKẻ Tôn Thờ Của Cthulhu"
"dark_cathedral_tier_75_cathedral_folk_phase_2.name","$normalLevel &cWorshipper of Cthulhu","$normalLevel &cKẻ Tôn Thờ Của Cthulhu"
"dark_cathedral_tier_75_cathedral_folk_phase_3.name","$normalLevel &cWorshipper of Cthulhu","$normalLevel &cKẻ Tôn Thờ Của Cthulhu"
"dark_cathedral_tier_75_miniboss_black_philip.name","$minibossLevel &cBlack Philip","$minibossLevel &cBlack Philip"
"dark_cathedral_tier_75_reinforcement.name","$reinforcementLevel &bChild of Cthulhu","$reinforcementLevel &bHậu Duệ Của Cthulhu"
"dark_cathedral_tier_75_surprise_folk.name","$normalLevel &cAbyssal Follower of Cthulhu","$normalLevel &cKẻ Theo Hầu Vực Thẳm Của Cthulhu"
"dark_cathedral_tier_75_sword_hard.lore[0]","&0&kChtulhu is the one true God.","&0&kChtulhu là vị Thần chân chính duy nhất."
"dark_cathedral_tier_75_sword_hard.lore[1]","&0&kThis world is but a lamb","&0&kThế giới này chỉ là một con cừu"
"dark_cathedral_tier_75_sword_hard.lore[2]","&0&kto the slaughter","&0&kchờ bị đem đi làm thịt"
"dark_cathedral_tier_75_sword_hard.name","&0Cursed Sword","&0Kiếm Bị Nguyền"
"dark_cathedral_tier_75_sword_mythic.lore[0]","&0&kChtulhu is the one true God.","&0&kChtulhu là vị Thần chân chính duy nhất."
"dark_cathedral_tier_75_sword_mythic.lore[1]","&0&kThis world is but a lamb","&0&kThế giới này chỉ là một con cừu"
"dark_cathedral_tier_75_sword_mythic.lore[2]","&0&kto the slaughter","&0&kchờ bị đem đi làm thịt"
"dark_cathedral_tier_75_sword_mythic.name","&0Cursed Sword","&0Kiếm Bị Nguyền"
"dark_cathedral_tier_75_sword_normal.lore[0]","&0&kChtulhu is the one true God.","&0&kChtulhu là vị Thần chân chính duy nhất."
"dark_cathedral_tier_75_sword_normal.lore[1]","&0&kThis world is but a lamb","&0&kThế giới này chỉ là một con cừu"
"dark_cathedral_tier_75_sword_normal.lore[2]","&0&kto the slaughter","&0&kchờ bị đem đi làm thịt"
"dark_cathedral_tier_75_sword_normal.name","&0Cursed Sword","&0Kiếm Bị Nguyền"
"dark_cathedral_trash_drop_boots_hard.lore[0]","&8The holes at the bottom","&8Những lỗ ở phần đế"
"dark_cathedral_trash_drop_boots_hard.lore[1]","&8really help with the airflow.","&8thực sự giúp thông khí rất tốt."
"dark_cathedral_trash_drop_boots_hard.name","&8Worn Sandals","&8Dép Cũ Mòn"
"dark_cathedral_trash_drop_boots_mythic.lore[0]","&8The holes at the bottom","&8Những lỗ ở phần đế"
"dark_cathedral_trash_drop_boots_mythic.lore[1]","&8really help with the airflow.","&8thực sự giúp thông khí rất tốt."
"dark_cathedral_trash_drop_boots_mythic.name","&8Worn Sandals","&8Dép Cũ Mòn"
"dark_cathedral_trash_drop_boots_normal.lore[0]","&8The holes at the bottom","&8Những lỗ ở phần đế"
"dark_cathedral_trash_drop_boots_normal.lore[1]","&8really help with the airflow.","&8thực sự giúp thông khí rất tốt."
"dark_cathedral_trash_drop_boots_normal.name","&8Worn Sandals","&8Dép Cũ Mòn"
"dark_cathedral_trash_drop_chestplate_hard.lore[0]","&8A hint of the ocean","&8Một chút hơi thở đại dương"
"dark_cathedral_trash_drop_chestplate_hard.lore[1]","&8covers this robe","&8bao phủ chiếc áo choàng này"
"dark_cathedral_trash_drop_chestplate_hard.name","&8Worn Robe","&8Áo Choàng Cũ Mòn"
"dark_cathedral_trash_drop_chestplate_mythic.lore[0]","&8A hint of the ocean","&8Một chút hơi thở đại dương"
"dark_cathedral_trash_drop_chestplate_mythic.lore[1]","&8covers this robe","&8bao phủ chiếc áo choàng này"
"dark_cathedral_trash_drop_chestplate_mythic.name","&8Worn Robe","&8Áo Choàng Cũ Mòn"
"dark_cathedral_trash_drop_chestplate_normal.lore[0]","&8A hint of the ocean","&8Một chút hơi thở đại dương"
"dark_cathedral_trash_drop_chestplate_normal.lore[1]","&8covers this robe","&8bao phủ chiếc áo choàng này"
"dark_cathedral_trash_drop_chestplate_normal.name","&8Worn Robe","&8Áo Choàng Cũ Mòn"
"dark_cathedral_trash_drop_helmet_hard.lore[0]","&8Wearing this hood makes","&8Đội chiếc mũ trùm này khiến"
"dark_cathedral_trash_drop_helmet_hard.lore[1]","&8you feel off, there is","&8bạn thấy kỳ lạ, như thể có"
"dark_cathedral_trash_drop_helmet_hard.lore[2]","&8something odd about it.","&8điều gì đó không ổn về nó."
"dark_cathedral_trash_drop_helmet_hard.name","&8Worn Hood","&8Mũ Trùm Cũ Mòn"
"dark_cathedral_trash_drop_helmet_mythic.lore[0]","&8Wearing this hood makes","&8Đội chiếc mũ trùm này khiến"
"dark_cathedral_trash_drop_helmet_mythic.lore[1]","&8you feel off, there is","&8bạn thấy kỳ lạ, như thể có"
"dark_cathedral_trash_drop_helmet_mythic.lore[2]","&8something odd about it.","&8điều gì đó không ổn về nó."
"dark_cathedral_trash_drop_helmet_mythic.name","&8Worn Hood","&8Mũ Trùm Cũ Mòn"
"dark_cathedral_trash_drop_helmet_normal.lore[0]","&8Wearing this hood makes","&8Đội chiếc mũ trùm này khiến"
"dark_cathedral_trash_drop_helmet_normal.lore[1]","&8you feel off, there is","&8bạn thấy kỳ lạ, như thể có"
"dark_cathedral_trash_drop_helmet_normal.lore[2]","&8something odd about it.","&8điều gì đó không ổn về nó."
"dark_cathedral_trash_drop_helmet_normal.name","&8Worn Hood","&8Mũ Trùm Cũ Mòn"
"dark_cathedral_trash_drop_leggings_hard.lore[0]","&8Smells like incense.","&8Có mùi như hương trầm."
"dark_cathedral_trash_drop_leggings_hard.name","&8Worn Leggings","&8Quần Cũ Mòn"
"dark_cathedral_trash_drop_leggings_mythic.lore[0]","&8Smells like incense.","&8Có mùi như hương trầm."
"dark_cathedral_trash_drop_leggings_mythic.name","&8Worn Leggings","&8Quần Cũ Mòn"
"dark_cathedral_trash_drop_leggings_normal.lore[0]","&8Smells like incense.","&8Có mùi như hương trầm."
"dark_cathedral_trash_drop_leggings_normal.name","&8Worn Leggings","&8Quần Cũ Mòn"
"dark_spire_teleporter.greetings[0]","",""
"dark_spire_teleporter.name","<g:#3A3A5A:#4A4A6A>Dark Warlock</g>","<g:#3A3A5A:#4A4A6A>Phù Thủy Bóng Tối</g>"
"dark_spire_teleporter.role","<g:#2A2A4A:#3A3A5A><Dark Spire></g>","<g:#2A2A4A:#3A3A5A><Dark Spire></g>"
"darkness.name","Darkness","Bóng Tối"
"darkspire_arzags_boots.lore[0]","&7Once worn by the might Arzag!","&7Từng được chiến binh hùng mạnh Arzag mang!"
"darkspire_arzags_boots.name","&8Arzag's War Boots","&8Ủng Chiến Tranh Của Arzag"
"darkspire_arzags_chestplate.lore[0]","&7Once worn by the might Arzag!","&7Từng được chiến binh hùng mạnh Arzag mang!"
"darkspire_arzags_chestplate.name","&8Arzag's War Chestplate","&8Giáp Ngực Chiến Tranh Của Arzag"
"darkspire_arzags_helmet.lore[0]","&7Once worn by the might Arzag!","&7Từng được chiến binh hùng mạnh Arzag mang!"
"darkspire_arzags_helmet.name","&8Arzag's War Helmet","&8Mũ Chiến Tranh Của Arzag"
"darkspire_arzags_leggings.lore[0]","&7Once worn by the might Arzag!","&7Từng được chiến binh hùng mạnh Arzag mang!"
"darkspire_arzags_leggings.name","&8Arzag's War Leggings","&8Quần Chiến Tranh Của Arzag"
"darkspire_arzags_slicer.lore[0]","&7Once used by the might Arzag!","&7Từng được chiến binh hùng mạnh Arzag sử dụng!"
"darkspire_arzags_slicer.name","&8Arzag's Slicer","&8Lưỡi Chém Của Arzag"
"darkspire_baalzarns_mace.lore[0]","&7Once wielded by the brutal Baalzarn!","&7Từng được gã tàn bạo Baalzarn sử dụng!"
"darkspire_baalzarns_mace.lore[1]","&7Crushes bone and armor alike.","&7Nghiền nát cả xương lẫn giáp."
"darkspire_baalzarns_mace.name","&8Baalzarn's Mace","&8Chùy Của Baalzarn"
"darkspire_crypt_keepers_boots.lore[0]","&cFormerly the boots of the","&cTừng là đôi ủng của"
"darkspire_crypt_keepers_boots.lore[1]","&ccorrupt Crypt Keeper!","&ctên Quản Mộ sa ngã!"
"darkspire_crypt_keepers_boots.name","&4Crypt Keeper's Boots","&4Ủng Của Quản Mộ"
"darkspire_hellraisers_battle_armor.lore[0]","&cFormerly the battle","&cTừng là bộ giáp chiến của"
"darkspire_hellraisers_battle_armor.lore[1]","&carmor of the egregious","&ctên khét tiếng"
"darkspire_hellraisers_battle_armor.lore[2]","&cEerbix the Fallen!","&cEerbix Sa Ngã!"
"darkspire_hellraisers_battle_armor.name","&4Eerbix's Battle Armor","&4Giáp Chiến Của Eerbix"
"darkspire_level_100_berserker_brute.name","$normalLevel &7Underworld Berserker","$normalLevel &7Cuồng Chiến Binh Địa Giới"
"darkspire_level_100_berserker_reanimated.name","$normalLevel &fReanimated Underworld Berserker","$normalLevel &fCuồng Chiến Binh Địa Giới Tái Sinh"
"darkspire_level_100_blacksmith_brute.name","$normalLevel &eSmoldering Goldsmith","$normalLevel &eThợ Kim Hoàn Âm Ỉ"
"darkspire_level_100_endermite.name","$normalLevel &5Voidcrawler","$normalLevel &5Kẻ Trườn Hư Không"
"darkspire_level_100_marksman_piglin.name","$normalLevel &9Foolish Marksman","$normalLevel &9Xạ Thủ Khờ Khạo"
"darkspire_level_100_sentry_brute.name","$normalLevel &3Darkguard Sentry","$normalLevel &3Lính Gác Darkguard"
"darkspire_level_100_summon_blaze.name","$reinforcementLevel &cHellspawn","$reinforcementLevel &cQuỷ Non Địa Ngục"
"darkspire_level_100_summon_evoker.name","$reinforcementLevel &cFalse Hellraiser","$reinforcementLevel &cKẻ Trỗi Dậy Địa Ngục Giả"
"darkspire_level_100_summon_ghast.name","$reinforcementLevel &7Maalkvvhar","$reinforcementLevel &7Maalkvvhar"
"darkspire_level_100_summon_husk.name","$reinforcementLevel &cOroxak's Corrupted","$reinforcementLevel &cKẻ Sa Đọa Của Oroxak"
"darkspire_level_100_summon_ravager.name","$reinforcementLevel &cEerbix the Fallen","$reinforcementLevel &cEerbix Sa Ngã"
"darkspire_level_100_summon_skeleton.name","$reinforcementLevel &cRibling","$reinforcementLevel &cRibling"
"darkspire_level_110_berserker_reanimated.name","$normalLevel &7Reanimated Underworld Berserker","$normalLevel &7Cuồng Chiến Binh Địa Giới Tái Sinh"
"darkspire_level_110_marksman_reanimated.name","$normalLevel &9Reanimated Foolish Marksman","$normalLevel &9Xạ Thủ Khờ Khạo Tái Sinh"
"darkspire_level_110_necromancer_evoker.name","$normalLevel &8Black-Hearted Enchanter","$normalLevel &8Pháp Sư Hắc Tâm"
"darkspire_level_110_sentry_reanimated.name","$normalLevel &3Reanimated Darkguard Sentry","$normalLevel &3Lính Gác Darkguard Tái Sinh"
"darkspire_level_110_stationary_stray.name","$normalLevel &6Hewn Watchman","$normalLevel &6Người Gác Đẽo Tạc"
"darkspire_level_120_miniboss_evoker.name","$minibossLevel &4Hellraiser","$minibossLevel &4Kẻ Trỗi Dậy Địa Ngục"
"darkspire_level_120_miniboss_illusioner.name","$minibossLevel &4Maalkv","$minibossLevel &4Maalkv"
"darkspire_level_120_miniboss_skeleton.name","$minibossLevel &4Crypt Keeper","$minibossLevel &4Kẻ Giữ Hầm Mộ"
"darkspire_level_120_miniboss_stray.name","$minibossLevel &4Nicolas Ribcage","$minibossLevel &4Nicolas Ribcage"
"darkspire_level_120_miniboss_vindicator.name","$minibossLevel &4Zalmur the Impslayer","$minibossLevel &4Zalmur Kẻ Diệt Imp"
"darkspire_level_120_miniboss_wither_skeleton.name","$minibossLevel &4Oroxak","$minibossLevel &4Oroxak"
"darkspire_level_120_summon_zoglin.name","$reinforcementLevel &cArzags Horde","$reinforcementLevel &cBầy Đàn Của Arzag"
"darkspire_level_130_miniboss_phase_brute.deathMessages[0]","&e&l---------------------------------------------","&e&l---------------------------------------------"
"darkspire_level_130_miniboss_phase_brute.deathMessages[1]","&4Arzag the Beast's invasion has been stopped!","&4Cuộc xâm lăng của Quái Thú Arzag đã bị chặn đứng!"
"darkspire_level_130_miniboss_phase_brute.deathMessages[2]","&c&l    1st Damager: $damager1name &cwith $damager1damage damage!","&c&l    Gây sát thương #1: $damager1name &cgây $damager1damage sát thương!"
"darkspire_level_130_miniboss_phase_brute.deathMessages[3]","&6&l    2nd Damager: $damager2name &6with $damager2damage damage!","&6&l    Gây sát thương #2: $damager2name &6gây $damager2damage sát thương!"
"darkspire_level_130_miniboss_phase_brute.deathMessages[4]","&e&l    3rd Damager: $damager3name &ewith $damager3damage damage!","&e&l    Gây sát thương #3: $damager3name &egây $damager3damage sát thương!"
"darkspire_level_130_miniboss_phase_brute.deathMessages[5]","&4Slayers: $players","&4Người hạ gục: $players"
"darkspire_level_130_miniboss_phase_brute.deathMessages[6]","&e&l---------------------------------------------","&e&l---------------------------------------------"
"darkspire_level_130_miniboss_phase_brute.name","$bossLevel &4Arzag the Beast","$bossLevel &4Arzag Quái Thú"
"darkspire_level_130_miniboss_zoglin.deathMessages[0]","&e&l---------------------------------------------","&e&l---------------------------------------------"
"darkspire_level_130_miniboss_zoglin.deathMessages[1]","&4Arzag the Beast's invasion has been stopped!","&4Cuộc xâm lăng của Quái Thú Arzag đã bị chặn đứng!"
"darkspire_level_130_miniboss_zoglin.deathMessages[2]","&c&l    1st Damager: $damager1name &cwith $damager1damage damage!","&c&l    Gây sát thương #1: $damager1name &cgây $damager1damage sát thương!"
"darkspire_level_130_miniboss_zoglin.deathMessages[3]","&6&l    2nd Damager: $damager2name &6with $damager2damage damage!","&6&l    Gây sát thương #2: $damager2name &6gây $damager2damage sát thương!"
"darkspire_level_130_miniboss_zoglin.deathMessages[4]","&e&l    3rd Damager: $damager3name &ewith $damager3damage damage!","&e&l    Gây sát thương #3: $damager3name &egây $damager3damage sát thương!"
"darkspire_level_130_miniboss_zoglin.deathMessages[5]","&4Slayers: $players","&4Người hạ gục: $players"
"darkspire_level_130_miniboss_zoglin.deathMessages[6]","&e&l---------------------------------------------","&e&l---------------------------------------------"
"darkspire_level_130_miniboss_zoglin.escapeMessage","&cArzag the Beast is done plundering!","&cArzag Quái Thú đã cướp phá xong!"
"darkspire_level_130_miniboss_zoglin.locationMessage","&4Arzag the Beast: $distance blocks away","&4Arzag Quái Thú: cách $distance khối"
"darkspire_level_130_miniboss_zoglin.name","$bossLevel &4Arzag the Beast","$bossLevel &4Arzag Quái Thú"
"darkspire_level_130_miniboss_zoglin.spawnMessage","&4Arzag the Beast prepares for the invasion!","&4Arzag Quái Thú chuẩn bị xâm lăng!"
"darkspire_level_80_summon_blaze.name","$reinforcementLevel &dFalse Hellspawn","$reinforcementLevel &dQuỷ Non Địa Ngục Giả"
"darkspire_maalkvs_bow.lore[0]","&cFormerly the bow of the","&cTừng là cây cung của"
"darkspire_maalkvs_bow.lore[1]","&cmischievous Maalkv!","&cMaalkv tinh quái!"
"darkspire_maalkvs_bow.name","&4Maalkv's Bow","&4Cung Của Maalkv"
"darkspire_nekros_scythe.lore[0]","&7Once wielded by the grim Nekro!","&7Từng được Nekro hung tàn sử dụng!"
"darkspire_nekros_scythe.lore[1]","&7Reaper of souls in the dark spire.","&7Kẻ gặt linh hồn trong ngọn tháp tăm tối."
"darkspire_nekros_scythe.name","&8Nekro's Scythe","&8Lưỡi Hái Của Nekro"
"darkspire_netherite_axe.lore[0]","&8Shards of the void itself were","&8Mảnh vỡ của chính hư không đã được"
"darkspire_netherite_axe.lore[1]","&8collected to form the cleaving","&8thu thập để tạo nên lưỡi"
"darkspire_netherite_axe.lore[2]","&8head of this ancient weapon.","&8chém của vũ khí cổ xưa này."
"darkspire_netherite_axe.name","&8Void Eviscerator","&8Kẻ Moi Ruột Hư Không"
"darkspire_nicolas_ribcages_helmet.lore[0]","&cFormerly the helmet of the","&cTừng là mũ của"
"darkspire_nicolas_ribcages_helmet.lore[1]","&cnefarious Nicolas Ribcage!","&cNicolas Ribcage hiểm độc!"
"darkspire_nicolas_ribcages_helmet.name","&4Nicolas Ribcage's Helmet","&4Mũ Của Nicolas Ribcage"
"darkspire_oroxaks_sword.lore[0]","&cFormerly the sword of the","&cTừng là thanh kiếm của"
"darkspire_oroxaks_sword.lore[1]","&codious Oroxak!","&cOroxak đáng ghét!"
"darkspire_oroxaks_sword.name","&4Oroxak's Sword","&4Kiếm Của Oroxak"
"darkspire_vexils_crossbow.lore[0]","&cFormerly the crossbow of the","&cTừng là nỏ của"
"darkspire_vexils_crossbow.lore[1]","&cdeadly Vexil!","&cVexil chết chóc!"
"darkspire_vexils_crossbow.name","&4Vexil's Crossbow","&4Nỏ Của Vexil"
"darkspire_zalmurs_leggings.lore[0]","&cFormerly the leggings of","&cTừng là quần của"
"darkspire_zalmurs_leggings.lore[1]","&cthe zealous Zalmur","&cZalmur cuồng tín"
"darkspire_zalmurs_leggings.lore[2]","&cthe Impslayer!","&cKẻ Diệt Imp!"
"darkspire_zalmurs_leggings.name","&4Zalmur's Leggings","&4Quần Của Zalmur"
"darkspire_zephyrs_spear.lore[0]","&cFormerly the spear of the","&cTừng là giáo của"
"darkspire_zephyrs_spear.lore[1]","&cswift Zephyr!","&cZephyr thần tốc!"
"darkspire_zephyrs_spear.name","&4Zephyr's Spear","&4Giáo Của Zephyr"
"debt_collector.name","$bossLevel <g:#8B0000:#DC143C>The Debt Collector</g>","$bossLevel <g:#8B0000:#DC143C>Kẻ Đòi Nợ</g>"
"debt_collector.onDamageMessages[0]","&c[Debt Collector] &7Consider that... &einterest&7.","&c[Debt Collector] &7Coi đó như... &etiền lãi&7."
"debt_collector.onDamageMessages[1]","&c[Debt Collector] &7Every hit is a &6payment&7.","&c[Debt Collector] &7Mỗi cú đánh là một &6khoản trả&7."
"debt_collector.onDamageMessages[2]","&c[Debt Collector] &7You can't escape your debts!","&c[Debt Collector] &7Ngươi không thể trốn nợ đâu!"
"debt_collector.onDamagedMessages[0]","&c[Debt Collector] &7That all you got?","&c[Debt Collector] &7Chỉ có vậy thôi sao?"
"debt_collector.onDamagedMessages[1]","&c[Debt Collector] &7You'll pay for that... literally.","&c[Debt Collector] &7Ngươi sẽ phải trả giá... theo đúng nghĩa đen."
"debt_collector.onDamagedMessages[2]","&c[Debt Collector] &7Fighting back won't clear your debt!","&c[Debt Collector] &7Chống trả cũng không xóa được món nợ của ngươi!"
"default_items.customInfo[0]","All default custom items from EliteMobs!","Tất cả vật phẩm tùy chỉnh mặc định từ EliteMobs!"
"default_items.name","&2Default EliteMobs Custom Items","&2Vật Phẩm Tùy Chỉnh EliteMobs Mặc Định"
"density.name","Density","Mật Độ"
